Product:,"Ricoh 910725 Theta V camera, Metallic Gray" 
URL:,https://www.amazon.ca/Ricoh-Theta-camera-Metallic-Gray/dp/B074W5BKYS/ref=sr_1_1_sspa?dchild=1&keywords=electronics&qid=1606075994&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzS0gzVkdONUtPNldWJmVuY3J5cHRlZElkPUEwMTUwNDQ1MTZNWjZMNzc3MjIyTCZlbmNyeXB0ZWRBZElkPUEwOTAzODIwMlk1WDNGVDhGSFhESCZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU= 
Price:,439.00 
Overall Rating:,4.4 out of 5 stars 
Reviews: 
Title,Rating,Review,Date,Author 
It is good soldering practice,4.0,"I wouldn't say this should be your first soldering kit to practice with.  Lots of semi-tight soldering will increase your soldering skills. But it sure is a nice trinket ""prize"" to have when you finish.","November 16, 2020",Jeffrey Young
Five Stars,5.0,nice little soldering project.  would look great once i 3d print a casing for it.,"August 1, 2018",DaddyFixIt
Was sent two identical boards. LED board was missing.,1.0,I would not recommend. Missing the LED board so I could not complete the project. See image.,"July 19, 2020",Amazon Customer
Three Stars,3.0,No instructions included for the first time assembler.,"February 28, 2018",R. Leonardo
Five Stars,5.0,No need for instructions. it's fairly straight forward to assemble and it works as advertised.,"June 15, 2018",Amazon Customer
Very happy.,5.0,"Great soldering practice. Works great, decent instructions.","June 28, 2018",Tyler MacLeod
Soudure,5.0,Besoin de trouvé les instructions sur internet mais super le fun,"February 15, 2019",kevin
,,"Bought a dozen for an electronics club (10-12 years old). Assembly has a few gotchas with orientation of the parts but if you read (look carefully at) the supplied printed instructions (I failed to do that) you should do fine. Definite pros: printed instruction; really cute and daft; cheap! Cons: Power supply not supplied.  We used some USB break-out boards and a couple of short pieces of solid core insulated wire.  If you don't have the USB break-out, you might just cut the end of an unused or broken (device-end) USB cable, find the 0V and 5V wires and solder them in place. Really a lot of fun. Club members had very few problems that weren't the good kind.","Reviewed in the United States on March 13, 2019",claude andrew
,,"First and foremost- This kit assembled didn't work for me, but it's entirely my fault.  I rushed through this kit, and I installed the IC's on the incorrect side of the corresponding PCB- so I effectively put the IC's in backwards.  Again, my fault entirely, both PCBs have pretty clear silk screen patterns- which is a bit surprising to me considering how heavily populated they get. So while I can't comment on how this kit functions as a completed unit, I did enjoy putting it together and although the instructions I got were hazy (hazy broken English and hazy from faded printer toner) I never got confused while assembling this. You might be thinking ""Never got confused?  You put the ICs in backwards!"".  Again, I was in a rush.  I was reminded of some Christmas gift business, and rather than simply stop working on this kit and resume at a less busy time, I rushed through it and in my hurry I just threw the ICs on, noting their orientation but not paying attention to the side of the PCB I soldered them to.  A lesson learned that in addition to driving, you should never build electronic devices while distracted I suppose! And touching back on the PCBs, again, they're marked with a easy to read silk screen, and the kit either had just the right amount, or a bit more of the parts needed to make this hourglass.  I have numerous other soldering kits to work on at this time (when I'm not distracted, of course!) but I may buy this again one day and assemble it correctly.","Reviewed in the United States on December 20, 2019",Hawk eye
,,"I was really looking forward to this kit from all the good reviews, but the directions were a little spotty. There was no 2.2k resistor, the directions kind of skip around in a weird way. Not very organised in the way they are written. Its a fun kit though in the way that you get to do alot of solder points. I noticed something was wrong with the performance of mine even though i followed the directions to a T, so i looked at the pictures of peoples in the reviews and noticed another guy that did one side of the solder resistors in a different directions than the instructions and his worked perfectly which just further confused me even more. Good practice though i guess...","Reviewed in the United States on May 6, 2020",J B
,,"I used this to help teach my nephew how to solder (he did a smaller kit first with help then this one mostly on his own) the issue is the instructions are bad. Nothing really show where components go but a photo (most kits will have a drawing of the board with component numbers and part description next to it. This one did not even show how the LED's go in, a first timer might have thought they were non polar and just stuck them all in random ways. Also note it takes 5V but does not include anything (no cable, socket....) you are on your own to have a wire to hook up and find a 5V supply. If this had better instructions and had come with at least a USB cable to hook it to power I would have given it 5 stars.","Reviewed in the United States on September 9, 2020",Terry Morris
,,"Fun kit to get started soldering with. This was my first build after buying a soldering station. Note that it doesn't come with a power supply. I connected a 2xCR2032 holder to mine to deliver the required power. You could also add a AA or AAA battery holder or just add leads to connect to a bench supply. I broke the adjustable trim pot on mine, make sure to note the limits of the adjustment (<1 full turn) that adjusts the speed of the hourglass so you don't make the same mistake. I was able to order a replacement trim pot, desolder the old one and replace. Build time is reasonable, all components are through hole, no SMD.","Reviewed in the United States on April 12, 2020",headtrauma
,,"First soldering project. Worked perfect. Instructions are semi broken english, but you can still easily figure out what they are trying to say. Keep in mind this DOES NOT include a power source. I had to cut open a USB cable and solder on the red/black wires for power.  Could of used a battery pack but all mine are only 3v from 2 AA batteries.  I was given 2 extra LED's, no other extra parts, but everything worked! Took about 3-4 hours on and off to finish it.","Reviewed in the United States on May 12, 2020",Ryan W.
,,I don't have much experience with circuit soldering and was a little overwhelmed with this kit to begin with but it didn't take long to figure out and it went together and worked perfectly.,"Reviewed in the United States on May 6, 2020",Sam
,,"Fun kit. Close solder points make for great practice. Whole project only takes a couple hours to complete. Doesn't include power cable as the others stated, but cutting up an old USB cable works well.","Reviewed in the United States on November 6, 2019",Erica
,,"Easy to follow instructions, but you have to solder you own power source. It would have been nice to include a barrel plug or usb jack","Reviewed in the United States on December 3, 2019",Stevo
,,"Works like it’s supposed to. The instructions were a little hard to figure out, but I got it. I was a little disappointed with the power options. I ended up cutting a old USB cable and soldering it on.","Reviewed in the United States on October 5, 2020",Michael Faucher
,,The Instructions have you mount the LEDs backwards so if you follow them you would have to flip the top board over,"Reviewed in the United States on August 6, 2020",Eber Ochoa
""
Product:,"DataComm Electronics 50-8823-WH-KIT Biss, White"
URL:,https://www.amazon.ca/DataComm-Electronics-50-8823-WH-KIT-Biss-White/dp/B007B5VSNA/ref=sr_1_4?dchild=1&keywords=electronics&qid=1606075994&sr=8-4
Price:,105.90
Overall Rating:,4.5 out of 5 stars
Reviews:
Title,Rating,Review,Date,Author
"It does what I wanted it to do, but installation was a little frustrating",3.0,"Just like everyone planning to buy this, I have a flat screen tv to mount on the wall, and wanted a way to run wired behind the wall. In my case, I have a fireplace below the tv, so it wasn't as straight forward as running up and down the wall. And it was on an exterior wall, so I had insulation to deal with. General set up was fine, but ran into an issue with the electrical hookup. Which in my opinion is the most important part! See attached photos. The instructions show push in connectors. The outlets supplied do not have this type of connection. I was able to figure it out, but it left me uneasy since the whole point of this system was the electrical component. Then, because of this, I connected the wires to the outlet, before threading it into the box (back cover). Problem: once the cable is pushed into the back of the outlet, you cannot take them out! Literally says once time use only. So I had to remove the wiring from the wall, thread it into the box from the other side, and re-fish the wire through my wall. I got it done in the end, but had to double check everything several times to feel like I got it right. Everything's done now. And looks decent. Unfortunately, some of my hdmi cables are not long enough to cover the extra distance through the wall, so I'll be ordering longer ones. I bought this at $71.82. It's a little pricey for what it is. And I would have expected a smoother experience. But in the end, things worked out.","February 7, 2018",Kevin
Good all in one solution,4.0,"This is a good solution for running both low voltage (audio and video signals) as well as AC current. Running an AC power cord through a wall from a TV without something like this would be very dangerous as those cords are not rated for being inside a wall. I found installation fairly straight forward but I've got a fair bit of experience. While as their advertising points out you don't need to be an electrician,  you will be responsible for making  AC line voltage connections that if done incorrectly could cause a fire, injure or even kill.  Read and follow the manufacturers directions and you should be fine.  Here are some installation tips that might make it easier. 1. This unit would be best used on an inside wall.  Use on an outside wall especially in a cold climates, will break the vapour barrier which could lead to condensation moisture in the wall. 2. It is very important that you don't cut the openings too close to a wall stud as the cams on the box and the cover-plate need to be able to move to be secured to your wall. 3. Try using small pieces of painters tape to hold the pattern to the wall then trace around with a pencil. 4. Lightly scoring the outline with a sharp razor knife before using the drywall saw can minimize tearing and breaking. 5.  Make sure you are mounting the bottom box low enough where it will be fully concealed by your furniture.  When I did mine I wish I had dropped it a couple of inches and I also forgot to take into account a cross bar that is right in the centre of my component stand meaning my furniture is farther away from the wall than I'd like. 6. Once you are done, you defiantly deserve a beverage of your choosing and some unrestricted binge watching of your favourite show!","July 8, 2020",Stakman1
Great Product with one installation issue,4.0,"The product does a great job of hiding cables to a TV including providing a power outlet at a higher level.  However, most TV's these days have a transformer between the outlet and the TV rather than the old fashioned direct 110V cable supply.  In my case I used electrical tape to attach the transformer and cable excess to the wall mounting device, something that can't be done with all. Installation issue concerns screwing into the plastic tabs that affix the switchbox to the drywall,  The crews should be worked into the plastic tab BEFORE trying to install or you will never manage to do it.  I used Jigaloo to ease the cutting of the thread into the tab and made sure the screws were easy to tighten.  After that all was smooth.","April 29, 2019",Aramis
Works great,4.0,"I think this is a great kit, but I wished the outlet power cord was a couple of feet longer. Nonetheless it is useful if you're hanging your TV and hiding audio cables. I like the product, but knocked off 1 star just because the power cable/wires were not long enough and I had to go out and purchase a longer cable myself.  The power cable in the kit works great if you're power outlet is just below the tv, but if you're hanging above a fireplace as I had to, the cable has to route sideways and then down and the power cable was shy of about 2ft for my set up.","February 11, 2018",Michael Raymur
"Very easy and fast installation, end result looks professional!",5.0,"I was first-time installing a TV on the wall by myself and went for this model over other less expensive variants because of the claimed simplified installation process. As advertised, the hardest part was to find perfect spot for the installation and avoid the studs, but once we were through that, setting up the plugs themselves took literally around 5 minutes! As a bonus, the finished setup looks very professional, and the wall plates match well the other outlets in the vicinity. Will recommend this to all my friends!","December 4, 2017",Kostu-san
"Nice kit, easy to install, works well.",5.0,"Nice little kit, easy to install, electrical is hard wired but really easy to work with and all wires labelled so if you aren't familiar with electrical it's really hard to mess it up. Cut 2 holes in drywall, hook up electrical connection between the two, pass your other wires and then screw the plates on (built with retaining clips that move into place behind the drywall as you tighten). It was really simple and easy to install. Bonus is you can plug the electrical into a surge protector so whatever you plug into the outlet will be protected.","May 8, 2020",Helphin
Great product then some bad luck.,3.0,"This kit was fairly easy to install and its design was functional. The wire provided was sufficient in length and it is stamped with CSA approval. The missign two stars are for the missing wire connector caps from one of the kits I ordered. The same kit’s faceplate was scuffed and clearly a returned product. Its packaging tape seal was also opened. I did not want to wait for an exchange. Pros: Great product, material strength, instructions, and design. Cons:  Poor quality control; I took unexpected time to the hardware store to buy some wire connector caps.","December 13, 2017",MLW
"Good Product, Easy to Install",5.0,"Installation Tips: !With Power Off! 1. Work Top Down 2. Cut holes 3. Run wires (through both wall and plastic pieces < both the boxes and their white inserts) 4. Connect wires - to connectors 5. Fix top box (the electrical and white one) into wall < make sure the connectors for your TV/Monitor are easy to get at. 6. Connect your TV/Monitor (including tv plug) and mount it to wall < I assume you have a bracket already there 7. Push (or pull from below gently) any excess cable into the wall behind your TV. 8. Mount / connect (NOT THE POWER CORD!) the bottom box - leave excess cable sticking out (i.e.) HDMI/Coax) alone. 9. Connect HDMI etc, to devices, move furniture back and push any excess cable back into the wall at the bottom end. 10. Plug in the power cord to the wall socket, test and you're done!","April 30, 2020",The Janissaire
Works great!,5.0,"Really enjoyed installing this.  The fit was simple enough and the plug on the bottom was a real time saver.  I've cut open walls in previous homes before to run wires for wall mounted TV's but this was even easier!  Such a cool product and well designed -- though I did use my own, larger gauge, higher quality wire to use behind the wall.  Now all my wires are hidden and it only took a few minutes to install (after cutting the holes).","November 23, 2018",Tyson Hein
"Hide those ugly cables now, this is an easy DYI project that takes an hour!",5.0,"Cables were an eye sore that I finally decided to get rid of. I initially made the mistake of purchasing the other kit that doesn't have electrical. Hiding electrically cables is a bad idea as it could cause a fire behind the walls, also your insurer probably would have an issue with it. Then I purchased this kit. Easy to use and the template is spot on. The dry wall cutting could be done with a simple knife, but I used the drywall cutter and it made my life very easy. The electrical bit was great as they colour code everything. Pros: - Sleek and appeal visual design - Install was simple - Electrical setup for dummies Cons: - Minor if any, larger than expected","July 20, 2020",Marty C
This cable organizer is great,5.0,"This organizer has two compartments, one for the electric cable and one for the rest of your cables. This is great because it is up to standard. It comes with a power cord that runs inside your wall. The quality is very high. The installation is not that easy (you need some tools to do the job). But, there is a video on Amazon the describes all that you need and all the stages of the installation.","May 11, 2020",AlexJ
Had to customize some pieces,4.0,"The install took me about 2 hours and a half. The result is really nice BUT it came after many sweats... The main problem is with the electrical junction box (and my walls). The gray plastic box where you attach the electrical wires together is too deep in my opinion. In fact, it is something like 1,5 times the depth of a regular electrical connection box. In my case, on my 1962 house on a wall that has fiberboard as insulation or vapor barrier behind the gypsum (garage on the other side), I had to be creative. In fact, I had to cut half of the depth of the connection box to make it fit because I didn’t want to make a hole in the board. I also had to cut a bit of the plastic part where you put the HDMI cables because it was also too deep. This product would be perfect for a clean new installation in a new house or one that is heavily renovated... With an existing house of a couple of years, there might be surprises such as the ones I encountered. On a more positive note, this product also fits on thick walls. Mine was about 3/4 of an inch thick and it worked. I easily made 3 HDMI cables and an audio cable pass through without any problem.","July 17, 2020",Daniel
Perfect for Cleaning Up Cables Between Components and Wall-Mounted TV!!,5.0,"A little pricier than some other solutions; however, this kit includes everything you need to clean up unsightly wires from your components to your tv!  Only took an hour or so to complete!  Looks much better now. Best part was still being able to plug TV in to surge protector, without having to purchase a separate surge protected outlet for behind the tv.  These can be ~$40!","February 28, 2018",Jamie Deck
Fix your instruction Manuel,4.0,"This thing is awesome! I set it up myself, but I must say the instructions do not make sense. I had to watch a video and it still didn't make sense to me. I had to figure it out on my own. Please improve your instructions, or make a video explaining everything. Electricians are not the only ones that install this. Great price for an amazing product!","January 10, 2018",Andre
Kit de rangement pour câble TV à écran plat avec solution d'alimentation,3.0,Faire attention car c'est pour des murs avec solive de 2 x 4 . On devrait le dire dans la description. J'ai été obligé de tout modifié a cause de cela. Si cela avait été dit je n'aurais pas eu de probleme et J'aurais donné une meilleure note. Mais quand meme trop cher,"October 20, 2020",maurice cormier
"Good product but beware, doesn't always fit",3.0,"Product seems good and seems like it would be a good solution for many people. I live in a condo building and when I sawed open my drywall, I found out that this product wouldn't fit in the gap between this drywall and the next room's drywall.  If you live in a condo building, you may want to check to make sure or look into low-profile alternative.","May 19, 2020",Paul Jorgenson
Great product,5.0,used this for the tv. great product was a pain to install but not because of the product just the nature of the job.  the end result was worth the effort though. everything you need comes in the package and the instructions for wiring the plug were helpful. will buy again when i do other displays in the house.,"March 8, 2019",Mr. Steez
Well designed.,4.0,"The product is excellent.  Well designed and achieves exactly what it was made to do. My only negative is that all the videos show it being installed on an interior wall, my situation was on an exterior wall so there was insulation and vapor barrier behind the drywall. Called the company 2 times to ask if this product could be used in this application but never received a call back. In the end I went ahead being very careful to not cut the vapor barrier. Had to push very hard to get the product into the opening due to the insulation. In the end I was able to but it was a bit of a struggle. A slightly less deep product for exterior walls would be ideal.","March 21, 2019",D Bell
Great kit!,5.0,"LOVE THIS KIT. It's pretty close to perfect, but installing it in a wall with insulation behind it can be a PITA.  Make sure you get some oversized vapour barrier housings, like these: https://www.amazon.ca/Globe-Electric-90118-Vapor-Barrier/dp/B00EAR9KNC But then you can't cut an oversized hole in the wall, as the wall plates use the cutout for stability, so you've gotta do some clever work by squeezing it all through the hole, and taping the vapour barrier box in with small pieces of vapour barrier tape. It would be nice if they made the holes in the back of the kit larger, as I can barely manage to get the cables all through.  I got (3) HDMI's, an optical cable, and an ethernet cable through mine.","October 25, 2016",krishan
UPGRAD !,4.0,Good product! Just not happy with the toggles that tightin to the wall. Needs to be upgraded to make it stronger. Too easy to over tighten! Toggles break too easy. Also need to cross wires behind the wall as they do not run straight over each other!! Not good when running a long distance! Comes with everything thing you need! That was the bonus ! Overall good system just needs to be improved!,"April 8, 2018",Amazon Customer
"Keeps your install clean, and helps keeps you to electrical code",5.0,"Probably going to purchase another one as well for my other tv. Did the trick, exactly what I was looking for now I can sleep at night knowing I don't have a ""live power cord"" run directly through my drywall so now we are to code. Keep in mind if you have a fireblock in your wall you may have to cut a hole in your drywall about half way down to jump through it (there are youtube videos out there of people doing this, cut drywall, drill through the fireblock, run the cord through, fill with fire-resistant sealant, patch wall back up). Was pretty minor but keep that in mind that you may have to patch your drywall.","January 23, 2018",Amazon Customer
Very clean professional look,5.0,"This is awesome! Stencil is perfect, very clear instructions. -Note- do NOT connect the electrical wires at the bottom before fishing them in the little box provided. Overall, your job will look really professional. I recommend using a piece of drain pipe (like that on you washing machine) for your cable management.","December 8, 2019",Cookie
Awesome product. Easy to install. Anyone can do it.,5.0,This product is freaking awesome.  It is easy to use. They even have videos on youtube that walk you step by step on how to do it.  It was easy to install.  I was able to now have an A/C outlet behind my TV on top of my fire place.  You don't need to know anything about electricity or be an electrician to do this. Anyone can do it.,"May 11, 2017",Anibal Ibarra
Works Great - a little pricey,4.0,Fairly easy to install if you do not mind cutting into your dry wall. Hardest part for me was maintaining the vapor barrier as it was on an outside wall - I needed to remove some installation and rebuild the barrier with Tucker tape and spare vapor barrier. If doing on an inside wall it would be very easy to do. A little pricey for what it is.,"July 5, 2019",Mike
"Decent product, installation trouble",2.0,"Product appears to perform as advertised, however inconveniently assembled with low quality parts.  The cord intake and cord outtake are essentially backwards (as manufactured, intake facing up, making cord insertion more difficult, with an insulated wall).  Screws to fasten electrical boxes to drywall stripped quickly, and i purchased replacement screws after trying a few other in home strategies (looking for replacement screws, bore out clips to allow larger screws to fit, cutting screw heads for a flat head screwdriver on the strippers, all of it a waste of time).  Final installation appears to function as advertised, but odd manufactured configuration and poor quality screws increased installation time to ""great, i can't get those hours back....."".","March 10, 2019",WH
"Provides nice, professional  look to installation.",5.0,Mounted TV on wall. I didn't want cords hanging down. This worked great. I was able to keep the bottom TV mount stand on the TV and use it as a platform for the DVR box. All cords are hidden from view behind the wall mount stand. I did have to buy an AC plug adapter (Home Depot - fairly inexpensive) to turn the plug-in 90 degrees to fit the bulky DVR power cord adapter into it.,"October 28, 2020",Papa Bear
Decent kit,5.0,"Considerably less then what local big box stores were charging for the kit.  Possibly could have bought the individual components cheaper, but it was worth the extra for the convenience.  Would recommend.","February 14, 2020",Jeff He
Good but never used!!!,4.0,"Purchased  to hang TV after completion of basement reno. Unfortunately decide not to hang tv on the wall. So never used the product and  couldn't not return.  Past the return date :(. However all good , all parts there nice quality product , seems pretty easy to instal. Wish  I could send back though. Expensive purchase that I can't use.","December 5, 2019",SB
Only way to Fly!,5.0,"It is perfect, mine was not easy because hug my new 55 inch TV over fireplace I had to open up the wall to get around the studs, very happy with the outcome after doing drywall repair and some painting.","December 18, 2019",Marcus Allen ( Black n Silver)
very easy and looks amazing,5.0,Very good value. My female plugin was upside down on arrival but very easy to fix. I wish the bottom and the top lined up but they make the wires cross inside the wall. Very small detail but i think for the price range it should be a feature. I have no electrical or drywall experience and it took me less than ten minutes to do this.,"September 30, 2018",Alexander Clayton King
Great product,5.0,1 year after receiving this product I installed it and only because  we moved out TV to another location of the family room. I had no plug in this wall so I ended up using this product. Initially hard to figure out how to install it. Also if you dont install it in the correct steps u might end up damaging the product.,"November 4, 2018",mustafa hassan
perfect product for a critical need,5.0,"Installed it in about 90m, was easy and everything fit well. The smaller bottom one required a firm push but that was no problem. Agree completely with others -- leave space at left or you will be cutting another hole. Best to go dead center of 16"" space between studs. Can't say enough about it.","January 29, 2018",Kim L
Everything you need is here,5.0,"Exactly what I wanted, if you are planning on installing this unit next to an outlet and are electrically inclined I would just run wiring straight from original outlet to outlet behind tv. But unit is great, instructions are clear highly recommend","August 4, 2017",Cire
Nice clean install,5.0,This was great for a clean look when mounting a TV on our living room wall. Even worked well on an outside wall that was insulated. Best to use fish tape when running wires to each end though.,"January 29, 2020",Rob
Yuri,2.0,"Not as easy as depicted in the video, I had a fire block in between so we had to drill a hole through the fire wall in order to pass the wall, thankfully my dad is an electrician or else it will be difficult. Just by watching the video I thought that I can finish this relocation myself but I was wrong. So before buying this item make sure to scan the wall to know if there are fire blocks or not!!!!!","May 9, 2020",Amazon Customer
A good product with a tricky install.,3.0,It does what it says it does. Once installed it looks clean and it allows you to run a lot of cabling if needed. The included extension cord is a nice touch. It isn't perfect though. The instructions are not clear and leave a lot to be desired. The drywall bracketing is easy to break and it is very hard to tell if it is secured properly. Be very careful when installing.,"July 13, 2019",Kyle
Very fragile,3.0,"It's okay, does the job. The locking tabs are very weak and mine broke with very little force. Now I have to figure out how to get the face plate to stay put.","February 16, 2020",M. Santos
Great Solution!,5.0,Great solution for wall mounted tvs. I hate having cables showing. This is a great way to conceal them and get power to the tv without the need for an electrician. Read the details of the product. Ensure your wall cavity is deep enough to support this product.,"June 26, 2019",@TheJeffChase
Great product,5.0,"I installed this wall pass-thru myself relatively quickly with no problems. It's simple enough with clear instructions and all the components you need. If you happen to have difficulty, there are many tutorial videos online that can help you along in the installation process. After completion, I'm very satisfied with the professional aesthetic.","February 11, 2019",Amazon Customer
Mixed up plugs but overall happy with finished product,3.0,The outlet holes on the two electrical boxes were installed incorrectly by Datacom. I had to remove them and switch them in order for the cables to be able to flow through both units. Other than that I was happy with the product. Someone who is unfamiliar with electrical outlets may have trouble if the same issue happens to them.,"November 1, 2020",Taylor
Good Solution for TV Installation,5.0,"This item gives you a very easy way to run cables inside the wall, leaving a clean wall instead of a mess of visible cables.  Make sure to check the wall for cross-braces in the stud bay though.  Fortunately I could remove the cross brace I ran into when installing this in the basement family room from the furnace room side of the wall.","September 24, 2019",Kevin in Petawawa
NOT AN ALL-IN-ONE KIT!,1.0,"DOES NOT INCLUDE WHATS LISTED/PICTURED! ORDERED TWICE, BOTH TIMES MISSING ELECTRICAL WORKBOX EVEN THOUGH IT SAYS ITS INCLUDED RIGHT ON THE BOX AND HAS A PICTURE OF IT. THIS WILL ONLY WORK IF YOU ALREADY HAVE AN ELECTRICAL OUTLET BOX. I SUPPOSE YOU CAN BUY ONE ELSEWHERE, BUT DON'T LIST IT AS INCLUDED AND SHOW IT IN THE PICTURE WHEN IT'S NOT IN THE BOX!","January 13, 2020",Mark
"Installation is easy, but you will have to ensure you know what's behind the drywall.",3.0,"I installed between the two studs which were picked up by the stud finder, but for the bottom panel I found a horizontal wooden piece that would not let me install the panel.  I had to make another hole below it to ensure there was enough space.  Happy with the product, there online videos available in youtube that help with the installation.","June 25, 2019",Fabian Lim
A must for hiding Tv and accessories cables,5.0,Installed this kit in about half hour. Tested it before I mounted it up and worked perfectly. Highly recommend this kit !!!,"July 19, 2020",RON SCOTT
Great Kit,5.0,"It comes with everything you need. I used for 1 HDMI and 1 Ethernet cable, but probably could fit another two or three cables. It would be better if the female end of the extension cord was a 90 degree angle instead of straight, so it would not stick out so far from the wall.","January 22, 2020",LTP
"Meets code, clean install and no visible wires in 45 mins.",5.0,Has everything that's needed to hide wiring for wall mounted TV. Exactly as described. The outlets secure to the dry wall without needing studs next to it and it looks like a professional install job. Took about 45 mins to have everything done so very easy to set up. Can easily fit about 5 HDMI cords,"May 17, 2018",Nelson
Works great.,5.0,Very happy with this. Took maybe a hour to get it all sorted out. Came with a long wire so just had to cut and strip it. All in looks great.,"October 13, 2020",Tyler. C
Disappointing,1.0,"Things didnt go well! I was missing 2 screw! So i got to use some of mine, plastic clip the one that grip on the jips wall are too flimsy to grab correctly....","November 10, 2018",dispatch2009
As described.,4.0,Worked exactly as descibed. Watch for center bracing in walls. Will need to drill through it or mount this below it in order to get cables through.,"October 9, 2018",Allan Reilly
pretty good,4.0,Worked great! The only thing I dislike is that the plug in wire at the bottom sticks out about 2 inches and you can't push a display case very close to the wall.  A redesign with a lower profile plug would make this product perfect.,"July 23, 2019",keithman
Mount it in the centre between the studs otherwise it ...,4.0,"Mount it in the centre between the studs otherwise it my be too tight to install the wiring connection cover on the bottom box, definitely works to hide the wiring.","January 20, 2018",Ricky
"Expensive, but worth it",5.0,"Not many setups like this...it is fast to install, and good quality, but a little on the expensive side.","September 4, 2020",Ray.
This product is excellent can’t say enough good things about this makes for ...,5.0,This product is excellent  can’t say enough good things about this makes for A clean and tidy job  Absolutely a excellent product .,"March 17, 2018",Jason Dinn
Almost perfect.,3.0,The plastics tabs the hold into the wall break very easily so be carefully when tightening.  Other than that it worked great.,"June 10, 2019",Ryan S
Great purchase,5.0,"The perfect solution for flat screen TV installation. These kits are dummy proof, never need to hire an electrician for such a simple fix. Excellent quality, simplistic design, and suitable for almost any space/TV","June 21, 2019",AmzonCan
That it makes the TV cords so much cleaner,5.0,The product works well  plus I went on YouTube to look for a video that people have made with any helpful hints for installing ! I totally recommend it!,"January 3, 2020",Donna
Good product,4.0,Straightforward to install. Was missing small caps for wires. Otherwise good.,"November 27, 2019",RayofSunshine
No more TV Wires,5.0,No more wires showing under my wall mounted TV. Used YouTube to install.,"May 14, 2020",AmazonCustomer
Fast delivery good value,5.0,Haven't installed yet but fast delivery price was pretty good looks to be easy installation thanks,"November 27, 2019",Jeff Loucks
Excellent solution for a wire-free TV setup,5.0,"Bought this for one of my clients, works like a charm, and if you know how to set it up the final setup is super neat.","October 18, 2018",Hugo Lopez
""
Product:,"LCD Writing Tablet, Richgv 12 Inch Colorful Update Digital Electronic Graphics Tablet Ewriter with Screen Lock Handwriting Pad Suitable for Kids and Adults(2 Battery)"
URL:,https://www.amazon.ca/Richgv-Colorful-Electronic-Graphics-Handwriting/dp/B07Q42LHB4/ref=sr_1_5?dchild=1&keywords=electronics&qid=1606075994&sr=8-5
Price:,27.99
Overall Rating:,4.2 out of 5 stars
Reviews:
Title,Rating,Review,Date,Author
Great product to keep the kids busy,4.0,"Your browser does not support HTML5 video. Overall, the product is great.  But it doesn’t come with a clear instruction on how to turn it on.  The color is not very vibrant but still a good writing pad. It can be erased easily.  The pen should come with a string though so it doesn’t get lost easily.","August 25, 2019",mhin
Fun to use and really practical and ecofriendly,5.0,"I've always been on the lookout for eco-friendly products, and one of the most ""wasted"" things in my home is paper, whether for making to do lists,  and especially making drawings with a 4 year old kid. He practically draws only a few lines in a blank paper and wants to use another one and though I know he enjoys that, it makes me sad to waste all those paper. And here's an excellent solution, an LCD writing tablet! Ever since we received this item, my kid is obsessed with this, doodle then erase, and repeats the cycle several times in a day! I might need to buy another one for myself to use. Lol.. I love that we can ""write in color"", and the tablet itself is big and we can write or draw a lot.. I'll probably buy a smaller one for my kid and use this for myself and stick it to the fridge for my reminders. The writing is practically crisp and clear, and the lock-in mode is also great. I use that lock mode to encourage my kid to use all the spot before erasing the doodle. This is a great product, and I can this being used all the time and will last for years. Definitely recommended!","August 29, 2019",Maya.lg
Great for kids/easy to use,4.0,"This is a great product. I bought it to start writing with my kids. It is useful because they likes to draw. Also, they can makes sketches without using paper. They are entertained without the need to use an electronic device all day.  Echo friendly, no need to waste papers.  Our little one practices printing on it.  It does have a button on the bottom to switch off so you can't erase the screen. If you switch it the other way, you can press the button to easily erase the screen. Great for in the car and on the go to keep the kids busy.","November 26, 2019",Lucasmom
"Lots of giggles, no writing on the wall",5.0,"Saw this on a flash deal for $13, decided why not and picked it up for my 2yr old. He instantly loves drawing on it (and demanding we also draw on it) At first I was worried as he kept pressing the clear button a lot but he soon realised that it removes what he's drawing and now only presses it when needed saving the battery life. This drawing tablet is always on but acts like e-ink and only requires electricity when the clear button is pressed, this means it will still be good for power no matter how often he presses that button. Even then the battery is easily replaceable. The screen isn't too scratch resistant so when the little guy was playing outside on it and it got some dirt on it, it then scuffed a little bit but nothing noticeable. The colours are set, so if you draw in one spot it will come out green, another blue etc etc so if your child asks for a certain colour you won't be able to get it unless you choose the specific area of the screen where that colour is. All in all my child loves this, he can throw it around with no worry and then demand I pick it up and ""cuh-wer""","August 11, 2020",Dan
Very smooth to write on.,5.0,"Normally, I will talk in my videos but today my throat hurts, so if you watched the video but are still wondering what I think here goes. The LCD panel is really smooth to write on, Like the stylus just glides over it. Very very satisfying. There is a lock button which you can use to prevent the LCD from being erased, and was fun for me, as although, i played with this quite a bit, i am giving it to one of my sons for Christmas. With the lock button I was able to leave him a message he will see when he opens the LCD. Overall, this just made me smile. It didn't cost much, and was really nice to use.","December 4, 2019",WanderingFather
